pixel_id,x,y,acc,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9
25,0,25,0.9457857142857143,0.021593447505584562,0.020625000000000004,0.04420289855072468,0.07676203768318213,0.07799227799227804,0.0706991358994501,0.043696275071633206,0.06586826347305386,0.08769344141488578,0.03943661971830981
26,0,26,0.9498571428571428,0.036485480268056536,0.02312499999999995,0.07463768115942027,0.048150732728541534,0.05405405405405406,0.03692065985860171,0.03653295128939826,0.031270791749833715,0.0648489314664702,0.0992957746478873
27,0,27,0.9491428571428572,0.026061057334326176,0.02749999999999997,0.06666666666666665,0.07117934403349613,0.05791505791505791,0.02670856245090336,0.03939828080229224,0.03725881570192946,0.09064112011790715,0.06760563380281692
28,1,0,0.9442857142857143,0.034996276991809405,0.04312499999999997,0.07971014492753625,0.05582693649685977,0.06254826254826251,0.04791830322073842,0.023638968481375366,0.03393213572854292,0.07369196757553431,0.10422535211267603
29,1,1,0.95,0.02010424422933732,0.025000000000000022,0.060869565217391286,0.06559665038381024,0.03397683397683393,0.04713275726630006,0.0580229226361032,0.07717897538256824,0.0420044215180545,0.0683098591549296
30,1,2,0.9444285714285714,0.03276247207743854,0.04500000000000004,0.06594202898550727,0.06280530355896718,0.04787644787644785,0.061272584446190104,0.03295128939828085,0.07119095143047238,0.05158437730287402,0.08309859154929577
31,1,3,0.9371428571428572,0.0387192851824274,0.05812499999999998,0.07463768115942027,0.0921144452198186,0.05250965250965256,0.08091123330714844,0.03796561604584525,0.04590818363273452,0.044952100221075875,0.10281690140845068
32,1,4,0.9458571428571428,0.03723008190618016,0.022499999999999964,0.07246376811594202,0.06838799720865318,0.061776061776061764,0.07305577376276517,0.03151862464183386,0.04723885562208918,0.05526897568165068,0.07816901408450705
33,1,5,0.9463571428571429,0.024571854058078935,0.030625000000000013,0.06811594202898552,0.0753663642707606,0.05096525096525095,0.062058130400628464,0.043696275071633206,0.05921490352628078,0.08327192336035372,0.04154929577464783
34,1,6,0.9341428571428572,0.034251675353685784,0.03249999999999997,0.09782608695652173,0.06210746685275648,0.10810810810810811,0.052631578947368474,0.06948424068767911,0.053892215568862256,0.07663964627855568,0.07816901408450705
35,1,7,0.9501428571428572,0.034251675353685784,0.030000000000000027,0.050724637681159424,0.05094207955338448,0.06872586872586872,0.052631578947368474,0.01862464183381085,0.07518296739853625,0.05821665438467205,0.061267605633802846
36,1,8,0.947,0.036485480268056536,0.016874999999999973,0.06666666666666665,0.0516399162595953,0.09111969111969109,0.04320502749410837,0.02936962750716332,0.06852960745176317,0.09285187914517312,0.04014084507042248
37,1,9,0.9500714285714286,0.036485480268056536,0.03562500000000002,0.06739130434782614,0.04884856943475224,0.0424710424710425,0.05341712490180672,0.03080229226361031,0.04856952761144373,0.06263817243920411,0.07464788732394367
38,1,10,0.9426428571428571,0.03946388682055102,0.026874999999999982,0.08333333333333337,0.06489881367759942,0.061776061776061764,0.08483896307934014,0.024355300859598805,0.04723885562208918,0.05600589535740608,0.09154929577464788
39,1,11,0.9361428571428572,0.014147431124348464,0.026249999999999996,0.0644927536231884,0.09769713886950449,0.061003861003861015,0.0667714061272584,0.044412607449856756,0.0931470392548237,0.12159174649963156,0.051408450704225395
40,1,12,0.9443571428571429,0.043931496649292634,0.03187499999999999,0.06014492753623191,0.06210746685275648,0.08339768339768339,0.04006284367635504,0.023638968481375366,0.09248170326014638,0.07369196757553431,0.04647887323943667
41,1,13,0.9422857142857143,0.0387192851824274,0.02749999999999997,0.07608695652173914,0.053035589672016714,0.050193050193050204,0.0463472113118617,0.05873925501432664,0.05322687957418493,0.075165806927045,0.10070422535211265
42,1,14,0.9417142857142857,0.053611317944899484,0.020625000000000004,0.07028985507246377,0.07048150732728542,0.06949806949806947,0.054988216810683443,0.033667621776504286,0.054557551563539586,0.10022107590272655,0.06197183098591552
43,1,15,0.9422857142857143,0.044676098287416255,0.03249999999999997,0.05724637681159417,0.0809490579204466,0.07104247104247108,0.07305577376276517,0.012177650429799458,0.06586826347305386,0.06705969049373617,0.0767605633802817
44,1,16,0.9372857142857143,0.04690990320178701,0.020625000000000004,0.0644927536231884,0.07048150732728542,0.09189189189189184,0.0652003142183818,0.02936962750716332,0.055222887558216915,0.08843036109064117,0.10281690140845068
45,1,17,0.9492142857142857,0.024571854058078935,0.02562500000000001,0.06666666666666665,0.06210746685275648,0.06332046332046337,0.058915946582875134,0.026504297994269344,0.0691949434464405,0.05011053795136333,0.06338028169014087
46,1,18,0.9450714285714286,0.026805658972449686,0.040000000000000036,0.05724637681159417,0.0635031402651779,0.08880308880308885,0.05184603299293011,0.04226361031518622,0.05854956753160345,0.06337509211495951,0.059859154929577496
47,1,19,0.9410714285714286,0.022338049143708072,0.02562500000000001,0.0688405797101449,0.06908583391486389,0.08803088803088799,0.0706991358994501,0.03724928366762181,0.08250166333998665,0.08916728076639646,0.04154929577464783
